Unnamed: 0,As of Date: 1/20/2024Current,9/30/2023,6/30/2023,3/31/2023,12/31/2022,Ticker,10/31/2023,7/31/2023,4/30/2023,1/31/2023,10/31/2022,As of Date: 1/19/2024Current,11/30/2023,8/31/2023,5/31/2023,2/28/2023,11/30/2022,0,1
PEG Ratio (5 yr expected),0.89,0.72,0.99,2.03,2.65,META,,,,,,,,,,,,,
Price/Sales (ttm),7.94,6.57,6.52,4.91,2.79,META,,,,,,,,,,,,,
Price/Book (mrq),6.90,5.76,5.92,4.33,2.53,META,,,,,,,,,,,,,
Enterprise Value/Revenue,7.56,22.12,22.77,18.49,9.32,META,,,,,,,,,,,,,
Enterprise Value/EBITDA,20.21,44.38,60.55,53.58,34.95,META,,,,,,,,,,,,,
Market Cap (intraday),674.39B,794.20B,830.86B,657.44B,388.97B,TSLA,,,,,,,,,,,,,
Enterprise Value,656.50B,776.93B,814.03B,641.00B,373.74B,TSLA,,,,,,,,,,,,,
Trailing P/E,68.43,71.29,76.99,57.31,38.10,TSLA,,,,,,,,,,,,,
Forward P/E,56.50,55.25,76.34,54.05,24.27,TSLA,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.32,2.13,2.89,1.89,1.08,TSLA,,,,,,,,,,,,,
Price/Sales (ttm),7.70,9.25,10.57,8.85,5.68,TSLA,,,,,,,,,,,,,
Price/Book (mrq),12.61,15.56,17.29,14.71,9.78,TSLA,,,,,,,,,,,,,
Enterprise Value/Revenue,6.84,33.27,32.66,27.48,15.37,TSLA,,,,,,,,,,,,,
Enterprise Value/EBITDA,40.23,234.16,197.63,165.42,74.67,TSLA,,,,,,,,,,,,,
Market Cap (intraday),,,,,,BRK.B,,,,,,,,,,,,,
Enterprise Value,,,,,,BRK.B,,,,,,,,,,,,,
Trailing P/E,,,,,,BRK.B,,,,,,,,,,,,,
Forward P/E,,,,,,BRK.B,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,BRK.B,,,,,,,,,,,,,
Price/Sales (ttm),,,,,,BRK.B,,,,,,,,,,,,,
Price/Book (mrq),,,,,,BRK.B,,,,,,,,,,,,,
Enterprise Value/Revenue,,,,,,BRK.B,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,BRK.B,,,,,,,,,,,,,
Market Cap (intraday),596.72B,509.89B,445.20B,326.00B,347.61B,LLY,,,,,,,,,,,,,
Enterprise Value,614.39B,525.89B,460.41B,340.02B,360.76B,LLY,,,,,,,,,,,,,
Trailing P/E,113.87,76.58,75.44,49.77,55.01,LLY,,,,,,,,,,,,,
Forward P/E,50.25,42.19,53.76,40.00,44.05,LLY,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.51,1.42,1.98,1.62,2.31,LLY,,,,,,,,,,,,,
Price/Sales (ttm),17.71,17.28,16.08,10.88,11.36,LLY,,,,,,,,,,,,,
Price/Book (mrq),53.18,46.09,39.78,30.61,34.52,LLY,,,,,,,,,,,,,
Enterprise Value/Revenue,19.16,55.36,55.39,48.85,49.41,LLY,,,,,,,,,,,,,
Enterprise Value/EBITDA,75.96,546.20,178.77,170.46,141.18,LLY,,,,,,,,,,,,,
Market Cap (intraday),567.01B,,,,,AVGO,348.33B,371.14B,261.20B,243.95B,196.51B,,,,,,,,
Enterprise Value,592.05B,,,,,AVGO,375.61B,398.90B,287.84B,271.05B,226.06B,,,,,,,,
Trailing P/E,36.73,,,,,AVGO,25.89,28.18,21.11,22.10,20.35,,,,,,,,
Forward P/E,25.91,,,,,AVGO,18.45,19.80,14.79,14.16,11.53,,,,,,,,
PEG Ratio (5 yr expected),1.82,,,,,AVGO,1.28,1.36,1.07,1.00,0.74,,,,,,,,
Price/Sales (ttm),14.44,,,,,AVGO,9.92,10.90,7.72,7.47,6.45,,,,,,,,
Price/Book (mrq),23.64,,,,,AVGO,15.78,16.86,11.13,10.74,9.41,,,,,,,,
Enterprise Value/Revenue,16.53,,,,,AVGO,40.41,44.94,32.96,30.40,25.31,,,,,,,,
Enterprise Value/EBITDA,28.80,,,,,AVGO,70.82,81.21,56.88,51.35,43.12,,,,,,,,
Market Cap (intraday),556.75B,478.37B,494.20B,472.57B,439.96B,V,,,,,,,,,,,,,
Enterprise Value,557.09B,480.18B,498.21B,476.94B,443.88B,V,,,,,,,,,,,,,
Trailing P/E,32.72,29.19,31.75,31.49,29.68,V,,,,,,,,,,,,,
Forward P/E,27.40,23.26,23.92,26.67,24.94,V,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.68,1.47,1.51,1.48,1.58,V,,,,,,,,,,,,,
Price/Sales (ttm),17.30,15.16,16.17,15.85,15.14,V,,,,,,,,,,,,,
Price/Book (mrq),14.37,12.20,12.81,12.80,12.28,V,,,,,,,,,,,,,
Enterprise Value/Revenue,17.06,55.78,61.33,59.73,55.93,V,,,,,,,,,,,,,
Enterprise Value/EBITDA,24.62,79.16,89.56,84.35,83.11,V,,,,,,,,,,,,,
Market Cap (intraday),465.76B,467.03B,445.55B,440.45B,495.37B,UNH,,,,,,,,,,,,,
Enterprise Value,498.66B,486.34B,469.64B,470.17B,501.51B,UNH,,,,,,,,,,,,,
Trailing P/E,21.10,22.57,21.99,22.31,25.98,UNH,,,,,,,,,,,,,
Forward P/E,18.05,17.92,19.30,18.98,21.28,UNH,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.39,1.43,1.56,1.51,1.63,UNH,,,,,,,,,,,,,
Price/Sales (ttm),1.27,1.37,1.36,1.38,1.60,UNH,,,,,,,,,,,,,
Price/Book (mrq),4.93,5.66,5.48,5.66,6.63,UNH,,,,,,,,,,,,,
Enterprise Value/Revenue,1.34,5.27,5.06,5.11,6.06,UNH,,,,,,,,,,,,,
Enterprise Value/EBITDA,13.73,51.02,51.73,51.92,63.70,UNH,,,,,,,,,,,,,
Market Cap (intraday),,421.44B,422.66B,380.80B,393.34B,JPM,,,,,,489.93B,,,,,,,
Enterprise Value,,,,,,JPM,,,,,,,,,,,,,
Trailing P/E,,9.33,10.73,10.78,11.32,JPM,,,,,,10.49,,,,,,,
Forward P/E,,9.81,10.14,10.18,10.44,JPM,,,,,,10.57,,,,,,,
PEG Ratio (5 yr expected),,2.97,3.07,3.40,,JPM,,,,,,2.94,,,,,,,
Price/Sales (ttm),,2.99,3.17,3.01,3.23,JPM,,,,,,3.17,,,,,,,
Price/Book (mrq),,1.47,1.53,1.44,1.54,JPM,,,,,,1.63,,,,,,,
Enterprise Value/Revenue,,,,,,JPM,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,JPM,,,,,,,,,,,,,
Market Cap (intraday),437.16B,,,,,WMT,440.06B,430.34B,407.22B,388.45B,384.43B,,,,,,,,
Enterprise Value,494.75B,,,,,WMT,490.98B,483.64B,457.52B,442.24B,435.82B,,,,,,,,
Trailing P/E,27.02,,,,,WMT,31.43,38.52,35.36,44.27,28.47,,,,,,,,
Forward P/E,23.04,,,,,WMT,23.15,25.77,24.69,22.12,21.74,,,,,,,,
PEG Ratio (5 yr expected),2.85,,,,,WMT,2.02,3.57,4.19,3.76,3.64,,,,,,,,
Price/Sales (ttm),0.69,,,,,WMT,0.70,0.70,0.68,0.66,0.67,,,,,,,,
Price/Book (mrq),5.50,,,,,WMT,5.53,5.94,5.30,5.38,4.96,,,,,,,,
Enterprise Value/Revenue,0.77,,,,,WMT,3.05,2.99,3.00,2.70,2.85,,,,,,,,
Enterprise Value/EBITDA,13.24,,,,,WMT,107.13,33.88,73.83,35.89,228.42,,,,,,,,
Market Cap (intraday),387.49B,468.73B,429.34B,443.35B,454.25B,XOM,,,,,,,,,,,,,
Enterprise Value,395.80B,480.70B,438.14B,454.91B,469.27B,XOM,,,,,,,,,,,,,
Trailing P/E,9.63,9.41,7.26,8.27,9.00,XOM,,,,,,,,,,,,,
Forward P/E,10.29,12.41,10.08,10.47,9.74,XOM,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.69,,,,1.81,XOM,,,,,,,,,,,,,
Price/Sales (ttm),1.16,1.35,1.15,1.18,1.21,XOM,,,,,,,,,,,,,
Price/Book (mrq),1.94,2.34,2.16,2.27,2.42,XOM,,,,,,,,,,,,,
Enterprise Value/Revenue,1.14,5.43,5.42,5.44,5.04,XOM,,,,,,,,,,,,,
Enterprise Value/EBITDA,4.96,26.29,27.13,21.45,19.46,XOM,,,,,,,,,,,,,
Market Cap (intraday),409.60B,373.03B,370.88B,344.51B,334.33B,MA,,,,,,,,,,,,,
Enterprise Value,417.68B,382.14B,379.48B,351.13B,340.82B,MA,,,,,,,,,,,,,
Trailing P/E,38.08,37.10,39.29,35.56,34.74,MA,,,,,,,,,,,,,
Forward P/E,30.67,27.25,32.05,29.67,28.41,MA,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.81,1.35,1.58,1.47,1.31,MA,,,,,,,,,,,,,
Price/Sales (ttm),17.07,16.09,16.63,15.87,15.70,MA,,,,,,,,,,,,,
Price/Book (mrq),64.93,67.54,69.58,54.70,52.26,MA,,,,,,,,,,,,,
Enterprise Value/Revenue,17.14,58.49,60.53,61.09,58.59,MA,,,,,,,,,,,,,
Enterprise Value/EBITDA,28.34,92.68,93.93,110.56,100.24,MA,,,,,,,,,,,,,
Market Cap (intraday),389.21B,375.05B,430.14B,405.11B,461.85B,JNJ,,,,,,,,,,,,,
Enterprise Value,395.62B,392.15B,458.44B,421.25B,459.80B,JNJ,,,,,,,,,,,,,
Trailing P/E,30.33,31.59,34.70,23.03,24.60,JNJ,,,,,,,,,,,,,
Forward P/E,15.15,14.18,15.50,14.71,16.98,JNJ,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.70,5.14,1.45,4.04,3.81,JNJ,,,,,,,,,,,,,
Price/Sales (ttm),4.29,4.21,4.55,4.35,4.91,JNJ,,,,,,,,,,,,,
Price/Book (mrq),5.46,4.99,6.07,5.27,6.19,JNJ,,,,,,,,,,,,,
Enterprise Value/Revenue,4.01,18.37,17.96,17.02,13.18,JNJ,,,,,,,,,,,,,
Enterprise Value/EBITDA,16.05,54.18,50.70,310.20,56.38,JNJ,,,,,,,,,,,,,
Market Cap (intraday),360.69B,,,,,HD,283.55B,334.17B,304.35B,329.36B,302.05B,,,,,,,,
Enterprise Value,407.89B,,,,,HD,330.23B,382.34B,351.95B,376.61B,348.17B,,,,,,,,
Trailing P/E,23.23,,,,,HD,17.77,20.33,18.01,19.54,18.19,,,,,,,,
Forward P/E,22.99,,,,,HD,17.54,22.27,19.01,19.19,16.92,,,,,,,,
PEG Ratio (5 yr expected),2.25,,,,,HD,1.70,2.19,1.77,2.81,1.46,,,,,,,,
Price/Sales (ttm),2.38,,,,,HD,1.86,2.19,1.96,2.13,1.98,,,,,,,,
Price/Book (mrq),252.23,,,,,HD,212.40,923.13,193.75,253.74,1.27k,,,,,,,,
Enterprise Value/Revenue,2.65,,,,,HD,8.76,8.91,9.45,10.51,8.96,,,,,,,,
Enterprise Value/EBITDA,15.91,,,,,HD,52.57,51.49,55.19,67.81,50.47,,,,,,,,
Market Cap (intraday),347.81B,343.78B,358.43B,350.46B,359.15B,PG,,,,,,,,,,,,,
Enterprise Value,374.76B,371.77B,388.25B,379.32B,386.28B,PG,,,,,,,,,,,,,
Trailing P/E,23.96,24.72,26.39,26.09,26.27,PG,,,,,,,,,,,,,
Forward P/E,23.31,22.83,23.87,23.58,26.11,PG,,,,,,,,,,,,,
PEG Ratio (5 yr expected),3.44,3.36,4.22,4.47,4.94,PG,,,,,,,,,,,,,
Price/Sales (ttm),4.39,4.42,4.42,4.37,4.76,PG,,,,,,,,,,,,,
Price/Book (mrq),7.42,7.48,7.89,7.84,8.27,PG,,,,,,,,,,,,,
Enterprise Value/Revenue,4.50,17.00,18.89,18.90,18.60,PG,,,,,,,,,,,,,
Enterprise Value/EBITDA,16.46,55.25,74.97,72.92,68.26,PG,,,,,,,,,,,,,
Market Cap (intraday),308.43B,,,,,COST,,,,226.81B,,,263.05B,243.41B,226.70B,214.76B,239.34B,,
Enterprise Value,299.91B,,,,,COST,,,,224.18B,,,256.70B,238.71B,221.99B,212.13B,237.33B,,
Trailing P/E,47.38,,,,,COST,,,,38.63,,,41.86,40.69,37.89,36.60,41.04,,
Forward P/E,44.25,,,,,COST,,,,35.59,,,38.31,35.84,34.01,33.67,37.45,,
PEG Ratio (5 yr expected),4.95,,,,,COST,,,,3.71,,,4.44,3.96,3.75,3.52,3.83,,
Price/Sales (ttm),1.26,,,,,COST,,,,0.98,,,1.09,1.04,0.97,0.93,1.06,,
Price/Book (mrq),11.80,,,,,COST,,,,10.56,,,10.50,10.33,9.62,10.00,11.59,,
Enterprise Value/Revenue,1.22,,,,,COST,,,,4.06,,,4.44,3.02,4.14,3.84,4.36,,
Enterprise Value/EBITDA,26.98,,,,,COST,,,,111.15,,,97.05,64.39,97.41,85.30,105.43,,
Market Cap (intraday),301.47B,,,,,ORCL,,,,,,,319.45B,329.75B,287.42B,235.98B,223.77B,,
Enterprise Value,381.57B,,,,,ORCL,,,,,,,396.31B,410.04B,370.46B,319.55B,304.12B,,
Trailing P/E,30.30,,,,,ORCL,,,,,,,34.48,39.21,34.96,27.48,39.35,,
Forward P/E,19.65,,,,,ORCL,,,,,,,20.92,21.60,18.90,15.38,16.75,,
PEG Ratio (5 yr expected),1.28,,,,,ORCL,,,,,,,1.34,2.36,2.08,1.65,1.55,,
Price/Sales (ttm),5.95,,,,,ORCL,,,,,,,6.35,6.67,6.08,5.21,5.19,,
Price/Book (mrq),77.98,,,,,ORCL,,,,,,,134.79,307.31,,,,,
Enterprise Value/Revenue,7.39,,,,,ORCL,,,,,,,30.62,32.93,26.77,25.77,24.78,,
Enterprise Value/EBITDA,18.88,,,,,ORCL,,,,,,,76.79,86.84,65.57,68.22,67.61,,
Market Cap (intraday),268.51B,321.66B,293.81B,309.06B,347.07B,CVX,,,,,,,,,,,,,
Enterprise Value,283.13B,333.56B,301.22B,314.50B,355.28B,CVX,,,,,,,,,,,,,
Trailing P/E,10.56,10.69,8.50,8.93,10.21,CVX,,,,,,,,,,,,,
Forward P/E,10.43,11.93,10.35,10.26,11.21,CVX,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,2.78,CVX,,,,,,,,,,,,,
Price/Sales (ttm),1.33,1.50,1.31,1.34,1.53,CVX,,,,,,,,,,,,,
Price/Book (mrq),1.62,2.01,1.84,1.94,2.17,CVX,,,,,,,,,,,,,
Enterprise Value/Revenue,1.40,6.42,6.38,6.44,6.52,CVX,,,,,,,,,,,,,
Enterprise Value/EBITDA,5.37,25.56,26.16,23.71,23.80,CVX,,,,,,,,,,,,,
Market Cap (intraday),276.42B,,,,,ADBE,,,,,,,278.19B,254.95B,191.64B,148.56B,160.36B,,
Enterprise Value,272.66B,,,,,ADBE,,,,,,,274.77B,252.46B,190.11B,147.09B,159.23B,,
Trailing P/E,51.74,,,,,ADBE,,,,,,,54.95,53.32,41.16,32.07,34.02,,
Forward P/E,34.13,,,,,ADBE,,,,,,,34.01,31.65,26.95,21.10,22.57,,
PEG Ratio (5 yr expected),2.27,,,,,ADBE,,,,,,,2.27,2.11,1.80,1.41,1.71,,
Price/Sales (ttm),14.46,,,,,ADBE,,,,,,,14.90,14.07,10.85,8.67,9.53,,
Price/Book (mrq),16.73,,,,,ADBE,,,,,,,17.63,17.18,13.49,10.57,11.16,,
Enterprise Value/Revenue,14.05,,,,,ADBE,,,,,,,54.43,51.63,39.48,31.60,35.19,,
Enterprise Value/EBITDA,35.03,,,,,ADBE,,,,,,,133.51,126.99,100.27,79.85,90.47,,
Market Cap (intraday),290.91B,263.10B,237.77B,281.12B,285.80B,ABBV,,,,,,,,,,,,,
Enterprise Value,338.36B,315.35B,293.14B,335.17B,343.53B,ABBV,,,,,,,,,,,,,
Trailing P/E,45.14,30.67,31.70,24.04,21.55,ABBV,,,,,,,,,,,,,
Forward P/E,14.71,13.61,12.25,14.49,14.03,ABBV,,,,,,,,,,,,,
PEG Ratio (5 yr expected),3.42,5.92,10.21,,,ABBV,,,,,,,,,,,,,
Price/Sales (ttm),5.30,4.73,4.22,4.88,4.97,ABBV,,,,,,,,,,,,,
Price/Book (mrq),24.05,20.45,17.91,16.29,17.88,ABBV,,,,,,,,,,,,,
Enterprise Value/Revenue,6.14,22.64,21.14,27.42,22.72,ABBV,,,,,,,,,,,,,
Enterprise Value/EBITDA,34.26,66.49,54.07,106.23,60.40,ABBV,,,,,,,,,,,,,
Market Cap (intraday),301.27B,261.24B,293.02B,269.96B,281.30B,MRK,,,,,,,,,,,,,
Enterprise Value,327.36B,291.77B,313.38B,287.46B,300.47B,MRK,,,,,,,,,,,,,
Trailing P/E,66.05,84.39,22.54,18.63,18.40,MRK,,,,,,,,,,,,,
Forward P/E,13.85,12.21,16.56,15.46,14.71,MRK,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.95,0.86,1.15,2.13,1.35,MRK,,,,,,,,,,,,,
Price/Sales (ttm),5.11,4.49,5.08,4.56,4.78,MRK,,,,,,,,,,,,,
Price/Book (mrq),7.30,6.75,6.26,5.87,6.33,MRK,,,,,,,,,,,,,
Enterprise Value/Revenue,5.52,18.28,20.84,19.84,21.73,MRK,,,,,,,,,,,,,
Enterprise Value/EBITDA,26.57,41.98,-75.42,58.87,64.76,MRK,,,,,,,,,,,,,
Market Cap (intraday),,217.57B,228.19B,228.01B,265.70B,BAC,,,,,,254.39B,,,,,,,
Enterprise Value,,,,,,BAC,,,,,,,,,,,,,
Trailing P/E,,7.87,8.62,8.97,10.48,BAC,,,,,,10.46,,,,,,,
Forward P/E,,8.17,8.31,8.24,8.98,BAC,,,,,,9.90,,,,,,,
PEG Ratio (5 yr expected),,7.43,7.56,4.34,89.76,BAC,,,,,,7.61,,,,,,,
Price/Sales (ttm),,2.22,2.39,2.46,2.92,BAC,,,,,,2.64,,,,,,,
Price/Book (mrq),,0.85,0.91,0.93,1.10,BAC,,,,,,0.97,,,,,,,
Enterprise Value/Revenue,,,,,,BAC,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,BAC,,,,,,,,,,,,,
Market Cap (intraday),258.67B,242.06B,260.39B,268.28B,275.08B,KO,,,,,,,,,,,,,
Enterprise Value,283.41B,267.99B,288.50B,295.80B,301.45B,KO,,,,,,,,,,,,,
Trailing P/E,24.22,23.23,26.53,28.32,27.90,KO,,,,,,,,,,,,,
Forward P/E,21.37,19.76,23.20,23.87,25.19,KO,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.82,2.58,3.28,3.38,3.58,KO,,,,,,,,,,,,,
Price/Sales (ttm),5.77,5.51,6.02,6.27,6.54,KO,,,,,,,,,,,,,
Price/Book (mrq),9.83,9.31,10.33,11.13,12.07,KO,,,,,,,,,,,,,
Enterprise Value/Revenue,6.29,22.42,24.10,26.94,29.77,KO,,,,,,,,,,,,,
Enterprise Value/EBITDA,18.22,63.88,81.61,62.79,96.90,KO,,,,,,,,,,,,,
Market Cap (intraday),271.89B,,,,,CRM,194.60B,219.38B,194.21B,164.78B,161.13B,,,,,,,,
Enterprise Value,272.74B,,,,,CRM,195.01B,218.48B,195.79B,166.86B,161.40B,,,,,,,,
Trailing P/E,106.80,,,,,CRM,125.52,592.13,944.62,646.04,312.67,,,,,,,,
Forward P/E,29.41,,,,,CRM,21.37,30.30,27.86,29.94,29.07,,,,,,,,
PEG Ratio (5 yr expected),1.47,,,,,CRM,1.07,1.51,1.39,1.71,1.68,,,,,,,,
Price/Sales (ttm),8.15,,,,,CRM,6.01,6.95,6.31,5.55,5.56,,,,,,,,
Price/Book (mrq),4.68,,,,,CRM,3.35,3.82,3.32,2.78,2.68,,,,,,,,
Enterprise Value/Revenue,8.03,,,,,CRM,22.36,25.40,23.74,19.90,20.59,,,,,,,,
Enterprise Value/EBITDA,28.93,,,,,CRM,80.65,90.47,82.37,75.26,115.20,,,,,,,,
Market Cap (intraday),227.90B,232.98B,255.05B,251.21B,248.90B,PEP,,,,,,,,,,,,,
Enterprise Value,262.39B,270.15B,291.61B,285.42B,281.40B,PEP,,,,,,,,,,,,,
Trailing P/E,27.63,29.67,38.91,28.40,25.85,PEP,,,,,,,,,,,,,
Forward P/E,20.37,20.92,25.38,25.19,24.63,PEP,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.47,2.63,3.20,3.32,3.05,PEP,,,,,,,,,,,,,
Price/Sales (ttm),2.50,2.60,2.91,2.93,3.00,PEP,,,,,,,,,,,,,
Price/Book (mrq),12.12,13.17,14.97,14.65,13.11,PEP,,,,,,,,,,,,,
Enterprise Value/Revenue,2.86,11.52,13.06,15.99,10.05,PEP,,,,,,,,,,,,,
Enterprise Value/EBITDA,17.85,54.93,64.39,84.04,151.37,PEP,,,,,,,,,,,,,
Market Cap (intraday),281.45B,166.12B,183.44B,157.74B,104.43B,AMD,,,,,,,,,,,,,
Enterprise Value,278.53B,162.70B,180.35B,154.75B,101.73B,AMD,,,,,,,,,,,,,
Trailing P/E,1.58k,,599.53,116.68,39.74,AMD,,,,,,,,,,,,,
Forward P/E,46.51,24.63,40.16,32.68,16.92,AMD,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.43,1.18,1.85,1.87,0.85,AMD,,,,,,,,,,,,,
Price/Sales (ttm),12.79,7.60,8.01,6.52,4.18,AMD,,,,,,,,,,,,,
Price/Book (mrq),5.12,3.01,3.35,2.88,1.91,AMD,,,,,,,,,,,,,
Enterprise Value/Revenue,12.60,28.05,33.65,28.91,18.17,AMD,,,,,,,,,,,,,
Enterprise Value/EBITDA,68.57,143.85,200.61,171.18,90.19,AMD,,,,,,,,,,,,,
Market Cap (intraday),228.16B,,,,,ACN,,,,,,,208.88B,203.41B,192.97B,167.63B,189.42B,,
